UAL," United ""United""",
SWA," Southwest ""Southwest"" ",
DAL," Delta ""Delta""",
AAL," American Airlines ""American""", americanairlines
CSN," China Southern Airlines ""China Southern"" ",
SKW," SkyWest ""SkyWest"" ",
CES," China Eastern ""China Eastern"" ",
ASQ," ExpressJet ""Acey"" ",
CCA," Air China ""Air China"" ",
FDX," FedEx ""FedEx"" ",
ANA," All Nippon ""All Nippon"" ",
BAW," British Airways ""Speedbird"" ",
DLH," Lufthansa ""Lufthansa"" ",
AFR," Air France ""Airfrance"" ",
EGF," American Eagle ""Eagle Flight"" ",
ASA," Alaska Airlines ""Alaska""",
CPA," Cathay Pacific ""Cathay"" ",
ACA," Air Canada ""Air Canada"" ",
UPS," United Parcel Service ""UPS""",
QFA," Qantas ""Qantas"" ",
JBU," JetBlue ""Jetblue""", jetblue_airways
AWE," US Airways ""Cactus"" ",
UAE," Emirates ""Emirates""",
CHH," Hainan Airlines ""Hainan""",
JAL," Japan Air Lines ""Japanair"" ",
KAL," Korean Air Lines Co. ""Koreanair"" ",
SIA," Singapore Airlines ""Singapore"" ",
CSZ," Shenzhen Airlines ""Shenzhen Air""",
AFL," Aeroflot ""Aeroflot"" ",
WJA," WestJet ""WestJet"" ",
MAS," Malaysian Airlines System ""Malaysian"" ",
VOZ," Virgin Australia ""Velocity"" ",
THY," Turkish Airlines ""Turkair"" ",
THA," Thai Airways ""Thai"" ",
KLM," KLM ""KLM"" ",
QTR," Qatar Airways ""Qatari""",
CXA," Xiamen ""Xiamen Air""",
CSC," Sichuan Airlines ""Chuanhang""",
AXM," Air Asia Sdn. Bhd. ""Asian Express""",
AAR," Asiana ""Asiana"" ",
TAM," TAM ""Tam"" ",
SEJ, SpiceJet,
LNI, Lion Airlines ,
IGO," IndiGo ""IFLY"" ",
HVN," Hang Khong Viet Nam ""Viet Nam Airlines""",
JST," Jetstar ""Jetstar"" ",
CDG," Shandong Airlines ""Shandong""",
CAL, China Airlines ,
EVA," Eva Airways ""Eva""",
AIC," Air India ""Airindia"" ",
NKS," Spirit ""Spirit Wings"" ",
CSH," Shanghai Airlines ""Shanghai Air""",
JZA," Jazz Air ""Jazz"" ",
JAI," Jet Airways ""Jet Airways""",
SVA," Saudi Arabian Airlines ""Saudia"" ",
SWR," Swiss ""SWISS"" ",
QLK," QantasLink ""Q-Link"" ",
ETD, Etihad Airways ,
VIR," Virgin Atlantic ""Virgin"" ",
TRS," AirTran ""Citrus"" ",
VRD," Virgin America ""Redwood"" ",
IBE," Iberia - Lineas Aereas de Espana ""Iberia"" ",
FFT," Frontier ""Frontier Flight"" ",
RPA," Republic ""Brickyard"" ",
QXE," Horizon ""Horizon Air"" ",
CMP," Copa Airlines ""Copa""",
ETH," Ethiopian Airlines ""Ethiopian"" ",
SLI," Servicios Aereos Litoral de C.V. ""Costera""",
HAL," Hawaiian Airlines ""Hawaiian""",
FLG," Endeavor Air ""Flagship"" ",
MSR," Egypt Air ""Egyptair"" ",
CEB, Cebu Pacific Air ,
SKY," Skymark ""Skymark""",
ANZ," Air New Zealand ""New Zealand"" ",
TCF," Shuttle America ""Mercury"" ",
AMX," Aerovias de Mexico  ""Aeromexico"" ",
PAL," Philippine Air Lines ""Philippine""",
SAA," South African Airways ""Springbok""",
AWQ," Indonesia AirAsia ""Wagon Air"" ",
AAY," Allegiant Air ""Allegiant""",
SET," Sociedad Ecuatoriana de Transportes Aereos Ltda. ""Saeta""",
TAP," Transportes Aereos Portugueses ""Air Portugal"" ",
CPZ," Compass Airlines ""Compass"" ",
AZA, Alitalia - Linee Aeree Italiane,
GJS," GoJet ""Lindbergh"" ",
AVA, Avianca,
JEX," Jal Express ""Janex""",
HDA, Dragonair ,
ASH," Mesa ""Air Shuttle"" ",
PDC," Potomac Air ""District""",
CHQ," Chautauqua ""Chautauqua"" ",
ELY," Israel Airlines ""Elal"" ",
FIN," Finnair ""Finnair"" ",
LOF," Trans States ""Waterski"" ",
RHC," Redhill Aviation Ltd ""Redair""",
BKP," Bangkok ""Bangkok Air""",
AMF," Ameriflight ""Amflight"" ",
AWI," Air Wisconsin ""Air Wisconsin"" ",
SLK," Silkair ""Silkair""",
ARG," Aerolineas Argentinas ""Argentina"" ",
LBQ," Quest Diagnostics ""Labquest""",
LAN," Linea Aerea Nacional de Chile  ""Lan"" ",
CUA," China United Airlines ""Lianhang""",
TYR," Tyrolean ""Tyrolean"" ",
PIA," Pakistan International Airlines Corporation  ""Pakistan"" ",
GLA," Great Lakes Aviation Ltd ""Lakes Air"" ",
ICE," Icelandair ""Iceair"" ",
RXA," Regional Express Airlines ""Rex"" ",
XAX," AirAsia X ""XAXANDU"" ",
SCX," Sun Country Airlines ""Sun Country"" ",
NZM," Mount Cook ""Mountcook""",
ALK," Air Lanka ""Air Lanka""",
EAG," Eagle Flying Services Ltd. ""Blue Eagle""",
MPE," Canadian North Airlines ""Empress"" ",
EJA," Netjets Aviation ""Execjet"" ",
TAI," Taca International Airlines ""Taca"" ",
EIN," Aer Lingus Teoranta ""Shamrock"" ",
SAS," SAS ""Scandi"" ",
CFG," Condor Flugdienst GMBH ""Condor"" ",
USC," AirNet ""Star Check""",
BER," Air Berlin ""Air Berlin""",
QJE," QantasLink ""QJET"" ",
KYV," Kibris Turk Hava Yollari Ltd. ""Airkibris""",
GLO," Gol Transportes Areos ""GOL""",
CRK," Hong Kong Airlines ""Bauhinia"" ",
GIA, Garuda Indonesia,
