ACI,EGJA,Alderney
PCN,NZPN,Picton Aerodrome
GGP,KGGP,Logansport/Cass County
MDS,KMDS,Madison Muni
NZY,KNZY,Halsey Field
YEK,CYEK,Arviat
ACD,SKAD,Alcides Fernandez
CHS,KCHS,Charleston Afb/Intl
PGZ,SBGS,Ponta Grossa
ADJ,OJAM,Marka Int'l
MTY,MMMY,General Mariano Escobedo Int'l
KIX,RJBB,Kansai Int'l
NBO,HKJK,Jomo Kenyatta Int'l
UME,ESNU,Umea
HOF,OEAH,al-Ahsa Domestic
LRR,OISL,Larestan Int'l
TOI,KTOI,Troy Muni
HPY,KHPY,Baytown
OTI,WAMR,Pitu
SQZ,EGXP,RAF Scampton
FOK,KFOK,Francis S Gabreski
DIY,LTCC,Diyarbakir
PMT,SVPT,Palmarito
OBU,PAOB,Kobuk
ELS,FAEL,East London
EBB,HUEN,Entebbe Int'l
PLU,SBBH,Pampulha Domestic
NDU,FYRU,Rundu
MVY,KMVY,Marthas Vineyard
SLM,LESA,Matacan
CEC,KCEC,Jack Mc Namara Field
KWA,PKWA,Bucholz Aaf
MNS,OPMS,Minhas\, Kamara Airbase
NAV,LTAZ,Nevşehir Kapadokya
CIH,ZBCZ,Changzhi
KKY,EIKL,Kilkenny
SOZ,LFKS,Solenzara
MNZ,KMNZ,Hamilton Muni
ZTM,CZTM,Shamattawa
JMU,ZYJM,Jiamusi
MEE,NWWR,La Roche
ACK,KACK,Nantucket Memorial
MMM,YMMU,Middlemount
MMB,RJCM,Memanbetsu
EOI,EGED,Eday
VDA,LLOV,Ovda Int'l
UAI,WPDB,Suai
YRA,CYRA,Gameti/Rae Lakes
YLL,CYLL,Lloydminster
CBW,SSKM,Campo Mourao
NIP,KNIP,Jacksonville Arpt
BSE,WBGN,Sematan
MPL,LFMT,Montpellier
SIQ,WIKK,Dabo
TKO,KTKO,Mankato
TPK,WITA,Teuku Cut Ali
GAD,KGAD,Northeast Alabama Rgnl
SZY,KSZY,Robert Sibley
FSW,KFSW,Fort Madison Muni
DCI,LIED,Decimomannu Air Force Base
DGG,PADG,Red Dog
BSC,SKBS,Jose Celestino Mutis
KDO,VRMK,Kadhdhoo
LMB,FWSM,Salima
KHD,OICK,Khorramabad
DOK,UKCC,Donetsk
MBD,FAMM,Mmabatho Int'l
YGK,CYGK,Kingston/Norman Rogers (Kingston)
TII,OATN,Tereen
MVO,FTTM,Mongo
DDG,ZYDD,Dandong
VOH,FMNV,Vohemar
SGV,SAVS,Sierra Grande
ENW,KENW,Kenosha Rgnl
MYG,MYMM,Mayaguana
PDO,WIPQ,Pendopo
ORM,EGBK,Sywell Aerodrome
BLX,LIDB,Belluno
SGS,KSGS,So St Paul Municipal
GUM,PGUM,Guam Intl
PVE,KPVE,Beech River Rgnl
JLN,KJLN,Joplin Rgnl
LFW,DXXX,Lome
MRV,URMM,Mineralnye Vody
RNO,KRNO,Reno/Tahoe Intl
AOJ,RJSA,Aomori
MKG,KMKG,Muskegon County
LKY,HTLM,Lake Manyara
WMO,PAWM,White Mountain
ABM,YNPE,Northern Peninsula
VVV,KVVV,Ortonville Muni
AQW,KAQW,Harriman-And-West
CVX,KCVX,Charlevoix Muni
ZIA,LIDT,G. Caproni (Mattarello)
ORG,SMZO,Zorg en Hoop
RMS,ETAR,Ramstein Air Base
MTH,KMTH,The Florida Keys Marathon
CEP,SLCP,Concepcion
